346,"9c","GÖB","L6","222",5,3,,
346,"9b","BEM","L6","143",2,2,,
346,"9b","BEM","L6","143",3,4,,
346,"9b","BEM","L6","143",5,3,,
347,"9a","HNZ","IF","PC1",1,1,,
347,"9a","HNZ","IF","PC1",4,5,,
347,"9b","HNZ","IF","PC1",1,1,,
347,"9b","HNZ","IF","PC1",4,5,,
347,"9c","HNZ","IF","PC1",1,1,,
347,"9c","HNZ","IF","PC1",4,5,,
347,"9a","RIC","NW","Ph 1",1,1,,
347,"9a","RIC","NW","Ph 2",4,5,,
347,"9b","RIC","NW","Ph 1",1,1,,
347,"9b","RIC","NW","Ph 2",4,5,,
347,"9c","RIC","NW","Ph 1",1,1,,
347,"9c","RIC","NW","Ph 2",4,5,,
347,"9a","AND","PoWi","147",1,1,,
347,"9a","AND","PoWi","147",4,5,,
347,"9b","AND","PoWi","147",1,1,,
347,"9b","AND","PoWi","147",4,5,,
347,"9c","AND","PoWi","147",1,1,,
347,"9c","AND","PoWi","147",4,5,,
347,"9a","KEU","S8","132",1,1,,
347,"9a","KEU","S8","132",4,5,,
347,"9b","KEU","S8","132",1,1,,
347,"9b","KEU","S8","132",4,5,,
347,"9c","KEU","S8","132",1,1,,
347,"9c","KEU","S8","132",4,5,,
349,"9a","SLF","ER","147",1,2,,
349,"9a","SLF","ER","147",3,1,,
349,"9b","KLF","ER","143",1,2,,
349,"9b","KLF","ER","143",3,1,,
349,"9c","KBN","ER","132",1,2,,
349,"9c","KBN","ER","132",3,1,,
349,"9a","NIE","KR","222",1,2,,
349,"9a","NIE","KR","222",3,1,,
349,"9b","NIE","KR","222",1,2,,
349,"9b","NIE","KR","222",3,1,,
349,"9c","NIE","KR","222",1,2,,
349,"9c","NIE","KR","222",3,1,,
350,"9b","MÖL","D","143",1,3,,
350,"9b","MÖL","D","143",2,5,,
350,"9b","MÖL","D","143",4,3,,
350,"9b","RHT","D","143",1,3,,
350,"9b","RHT","D","143",2,5,,
350,"9b","RHT","D","143",4,3,,
351,"9b","HAN","PK","143",2,1,,
351,"9b","HAN","PK","143",5,1,,
352,"9b","SFN","M","143",4,1,,
352,"9b","SFN","M","143",5,4,,
353,"9b","HRM","BI","538",1,4,,
353,"9b","HRM","BI","537",4,4,,
353,"9b","HLL","BI","538",1,4,,
353,"9b","HLL","BI","537",4,4,,
354,"9b","PRN","E5","143",2,3,,
354,"9b","PRN","E5","143",5,2,,
354,"9b","JOP","E5","143",2,3,,
354,"9b","JOP","E5","143",5,2,,
355,"9b","MAY","KU","Ku 1",3,2,,
355,"9b","MAY","KU","Ku 1",3,3,,
356,"9b","WÖR","MU","Mu 1",2,4,,
356,"9b","WÖR","MU","Mu 1",4,2,,
357,"9b","GÖB","SP","gr SpH",1,5,,
357,"9b","GÖB","SP","gr SpH",5,5,,
358,"9c","RTR","D","132",2,3,,
358,"9c","RTR","D","132",4,3,,
358,"9c","RTR","D","132",5,2,,
359,"9c","MAY","GE","132",1,5,,
